Customer_ID,Customer_Name,Transaction_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Country,Country_Risk,Occupation,Account_Age_Months,KYC_Status,Branch,Risk_Score,Customer_Risk,Alert_Status,SAR_Flag
C00067,Customer_67,T000067,2025-08-07,178833,Cash Withdrawal,USA,Low,Doctor,73,Complete,Chennai,40,Medium,Closed,No
C00068,Customer_68,T000068,2025-07-18,234391,Cash Deposit,Germany,Low,Student,67,Incomplete,Chennai,55,Medium,Closed,No
C00069,Customer_69,T000069,2025-04-05,9157,Cash Withdrawal,UAE,Medium,Salaried,35,Pending,Chennai,15,Low,Closed,No
C00070,Customer_70,T000070,2025-07-04,159516,Wire Transfer,USA,Low,Student,66,Complete,Bangalore,60,Medium,Open,No
C00071,Customer_71,T000071,2025-05-14,35102,Online Transfer,UK,Low,Salaried,171,Complete,Kolkata,0,Low,Closed,No
C00072,Customer_72,T000072,2025-08-14,32707,Cash Withdrawal,Panama,High,Trader,2,Complete,Delhi,25,Low,Closed,No
C00073,Customer_73,T000073,2025-07-18,220888,Cheque,USA,Low,Freelancer,173,Complete,Mumbai,40,Medium,Closed,No
C00074,Customer_74,T000074,2025-04-18,216031,Cheque,UAE,Medium,Trader,2,Complete,Pune,50,Medium,Closed,No
C00075,Customer_75,T000075,2025-03-31,110368,Wire Transfer,UAE,Medium,Consultant,108,Pending,Mumbai,75,High,Open,Yes
C00076,Customer_76,T000076,2025-01-13,204788,Wire Transfer,Cayman Islands,High,Salaried,146,Pending,Hyderabad,90,High,Open,Yes
C00077,Customer_77,T000077,2025-04-07,70760,Online Transfer,Canada,Low,Consultant,80,Complete,Kolkata,20,Low,Closed,No
C00078,Customer_78,T000078,2025-06-07,144498,Cash Deposit,Panama,High,Consultant,52,Incomplete,Hyderabad,80,High,Open,Yes
C00079,Customer_79,T000079,2025-03-20,56565,Wire Transfer,Hong Kong,Medium,Business Owner,171,Complete,Delhi,50,Medium,Closed,No
C00080,Customer_80,T000080,2025-08-18,145147,Wire Transfer,Singapore,Low,Trader,103,Pending,Kolkata,65,Medium,Open,No
C00081,Customer_81,T000081,2025-02-08,189308,Cash Withdrawal,Cayman Islands,High,Trader,23,Complete,Hyderabad,65,Medium,Open,No
C00082,Customer_82,T000082,2025-04-17,12201,Wire Transfer,Germany,Low,Student,40,Incomplete,Pune,35,Low,Closed,No
C00083,Customer_83,T000083,2025-07-30,169774,Wire Transfer,Germany,Low,Doctor,158,Complete,Hyderabad,60,Medium,Open,No
C00084,Customer_84,T000084,2025-08-08,88492,Cheque,UAE,Medium,Salaried,23,Complete,Delhi,30,Low,Closed,No
C00085,Customer_85,T000085,2025-12-28,57621,Cash Deposit,UAE,Medium,Consultant,94,Complete,Kolkata,30,Low,Closed,No
C00086,Customer_86,T000086,2025-10-01,111310,Cash Deposit,UK,Low,Salaried,1,Complete,Kolkata,40,Medium,Closed,No
C00087,Customer_87,T000087,2025-12-06,159310,Online Transfer,UAE,Medium,Salaried,117,Complete,Chennai,50,Medium,Closed,No
C00088,Customer_88,T000088,2025-06-01,65563,Cash Withdrawal,Germany,Low,Doctor,96,Complete,Chennai,20,Low,Closed,No
C00089,Customer_89,T000089,2025-10-28,195022,Online Transfer,UK,Low,Freelancer,51,Pending,Mumbai,45,Medium,Closed,No
C00090,Customer_90,T000090,2025-09-09,11401,Wire Transfer,Panama,High,Freelancer,108,Complete,Chennai,45,Medium,Closed,No
C00091,Customer_91,T000091,2025-02-07,47452,Online Transfer,USA,Low,Trader,147,Incomplete,Hyderabad,15,Low,Closed,No
C00092,Customer_92,T000092,2025-09-07,36598,Wire Transfer,Germany,Low,Trader,161,Complete,Pune,20,Low,Closed,No
C00093,Customer_93,T000093,2025-11-20,138682,Online Transfer,Hong Kong,Medium,Engineer,167,Complete,Bangalore,50,Medium,Closed,No
C00094,Customer_94,T000094,2025-12-31,89563,Wire Transfer,Hong Kong,Medium,Student,177,Complete,Kolkata,50,Medium,Closed,No
C00095,Customer_95,T000095,2025-03-13,187430,Wire Transfer,UAE,Medium,Business Owner,167,Complete,Mumbai,70,High,Open,No
C00096,Customer_96,T000096,2025-10-13,180689,Cash Deposit,Cayman Islands,High,Trader,131,Pending,Chennai,70,High,Open,No
C00097,Customer_97,T000097,2025-08-29,48879,Wire Transfer,Hong Kong,Medium,Business Owner,71,Complete,Bangalore,30,Low,Closed,No
C00098,Customer_98,T000098,2025-02-04,178392,Cash Deposit,Germany,Low,Engineer,121,Complete,Hyderabad,40,Medium,Closed,No
C00099,Customer_99,T000099,2025-12-23,84513,Cheque,India,Low,Salaried,84,Complete,Hyderabad,20,Low,Closed,No
C00100,Customer_100,T000100,2025-07-06,122593,Cash Withdrawal,India,Low,Freelancer,62,Complete,Chennai,40,Medium,Closed,No
C00101,Customer_101,T000101,2025-12-22,144719,Online Transfer,Germany,Low,Freelancer,171,Complete,Mumbai,40,Medium,Closed,No
C00102,Customer_102,T000102,2025-04-14,9561,Cheque,UAE,Medium,Doctor,110,Complete,Chennai,10,Low,Closed,No
C00103,Customer_103,T000103,2025-05-18,220657,Cash Deposit,India,Low,Freelancer,140,Complete,Bangalore,40,Medium,Closed,No
C00104,Customer_104,T000104,2025-03-02,177722,Wire Transfer,USA,Low,Business Owner,133,Complete,Delhi,60,Medium,Open,No
C00105,Customer_105,T000105,2025-12-27,158272,Cheque,Hong Kong,Medium,Doctor,17,Complete,Pune,50,Medium,Closed,No
C00106,Customer_106,T000106,2025-12-24,50397,Cash Withdrawal,UAE,Medium,Engineer,126,Complete,Delhi,30,Low,Closed,No
C00107,Customer_107,T000107,2025-02-22,104787,Cheque,USA,Low,Trader,66,Complete,Delhi,40,Medium,Closed,No
C00108,Customer_108,T000108,2025-02-12,182512,Cash Deposit,USA,Low,Salaried,109,Complete,Pune,40,Medium,Closed,No
C00109,Customer_109,T000109,2025-08-18,170163,Cheque,Hong Kong,Medium,Student,107,Incomplete,Delhi,65,Medium,Open,No
C00110,Customer_110,T000110,2025-07-12,25620,Cheque,UK,Low,Freelancer,95,Incomplete,Bangalore,15,Low,Closed,No
C00111,Customer_111,T000111,2025-01-14,17543,Wire Transfer,Panama,High,Doctor,101,Complete,Kolkata,45,Medium,Closed,No
C00112,Customer_112,T000112,2025-06-11,85240,Cash Withdrawal,India,Low,Consultant,39,Pending,Bangalore,25,Low,Closed,No
C00113,Customer_113,T000113,2025-01-18,159589,Online Transfer,Hong Kong,Medium,Doctor,40,Complete,Mumbai,50,Medium,Closed,No
C00114,Customer_114,T000114,2025-04-24,87553,Online Transfer,Singapore,Low,Consultant,42,Complete,Mumbai,20,Low,Closed,No
C00115,Customer_115,T000115,2025-11-17,122516,Cheque,Hong Kong,Medium,Doctor,119,Pending,Pune,55,Medium,Closed,No
C00116,Customer_116,T000116,2025-02-10,239555,Cash Withdrawal,UK,Low,Engineer,120,Complete,Delhi,40,Medium,Closed,No
C00117,Customer_117,T000117,2025-10-17,238625,Cheque,Canada,Low,Business Owner,60,Pending,Pune,45,Medium,Closed,No
C00118,Customer_118,T000118,2025-08-16,16037,Online Transfer,UAE,Medium,Consultant,156,Complete,Mumbai,10,Low,Closed,No
C00119,Customer_119,T000119,2025-05-02,204705,Online Transfer,UK,Low,Engineer,22,Complete,Kolkata,40,Medium,Closed,No
C00120,Customer_120,T000120,2025-12-22,102077,Cheque,Germany,Low,Business Owner,44,Complete,Bangalore,40,Medium,Closed,No
C00121,Customer_121,T000121,2025-08-01,184397,Cash Withdrawal,Canada,Low,Business Owner,42,Complete,Hyderabad,40,Medium,Closed,No
C00122,Customer_122,T000122,2025-06-01,71314,Cash Deposit,Canada,Low,Trader,151,Complete,Kolkata,20,Low,Closed,No
C00123,Customer_123,T000123,2025-11-09,13893,Cash Deposit,UK,Low,Doctor,7,Incomplete,Mumbai,15,Low,Closed,No
C00124,Customer_124,T000124,2025-06-16,42539,Cash Deposit,Panama,High,Student,26,Complete,Mumbai,25,Low,Closed,No
C00125,Customer_125,T000125,2025-08-25,11823,Cash Deposit,Panama,High,Engineer,45,Complete,Delhi,25,Low,Closed,No
C00126,Customer_126,T000126,2025-12-02,146820,Cash Deposit,Germany,Low,Salaried,107,Complete,Mumbai,40,Medium,Closed,No
C00127,Customer_127,T000127,2025-10-25,63262,Cash Deposit,UK,Low,Freelancer,103,Complete,Delhi,20,Low,Closed,No
C00128,Customer_128,T000128,2025-11-04,162345,Cheque,Hong Kong,Medium,Business Owner,146,Complete,Mumbai,50,Medium,Closed,No
C00129,Customer_129,T000129,2025-09-16,51447,Cheque,Singapore,Low,Business Owner,174,Complete,Kolkata,20,Low,Closed,No
C00130,Customer_130,T000130,2025-04-29,185119,Cash Deposit,Singapore,Low,Doctor,31,Complete,Delhi,40,Medium,Closed,No
C00131,Customer_131,T000131,2025-11-18,80337,Cheque,UAE,Medium,Engineer,60,Complete,Kolkata,30,Low,Closed,No
C00132,Customer_132,T000132,2025-02-09,168171,Cheque,Singapore,Low,Consultant,65,Pending,Kolkata,45,Medium,Closed,No
C00133,Customer_133,T000133,2025-11-13,78876,Cash Deposit,UK,Low,Trader,49,Complete,Delhi,20,Low,Closed,No
C00134,Customer_134,T000134,2025-09-07,174059,Cash Withdrawal,USA,Low,Salaried,48,Complete,Hyderabad,40,Medium,Closed,No
C00135,Customer_135,T000135,2025-06-08,85724,Online Transfer,Germany,Low,Salaried,116,Complete,Chennai,20,Low,Closed,No
C00136,Customer_136,T000136,2025-08-14,7396,Cash Deposit,UAE,Medium,Doctor,78,Complete,Delhi,10,Low,Closed,No
C00137,Customer_137,T000137,2025-07-10,183602,Cash Withdrawal,Hong Kong,Medium,Salaried,60,Complete,Bangalore,50,Medium,Closed,No
C00138,Customer_138,T000138,2025-02-17,243673,Online Transfer,UK,Low,Salaried,3,Complete,Chennai,40,Medium,Closed,No
C00139,Customer_139,T000139,2025-08-18,188085,Cheque,Panama,High,Engineer,39,Complete,Mumbai,65,Medium,Open,No
C00140,Customer_140,T000140,2025-04-16,63986,Cash Withdrawal,UAE,Medium,Doctor,37,Complete,Pune,30,Low,Closed,No
C00141,Customer_141,T000141,2025-07-10,204957,Cheque,Germany,Low,Engineer,42,Complete,Bangalore,40,Medium,Closed,No
C00142,Customer_142,T000142,2025-10-01,151218,Cheque,Panama,High,Engineer,176,Pending,Chennai,70,High,Open,No
C00143,Customer_143,T000143,2025-12-12,2483,Cash Deposit,Singapore,Low,Trader,40,Incomplete,Kolkata,15,Low,Closed,No
C00144,Customer_144,T000144,2025-06-14,91148,Online Transfer,Hong Kong,Medium,Student,168,Pending,Hyderabad,35,Low,Closed,No
C00145,Customer_145,T000145,2025-05-02,89283,Wire Transfer,Hong Kong,Medium,Student,67,Incomplete,Mumbai,65,Medium,Open,No
C00146,Customer_146,T000146,2025-12-09,211611,Cash Deposit,UK,Low,Business Owner,62,Complete,Kolkata,40,Medium,Closed,No
C00147,Customer_147,T000147,2025-10-08,33845,Cheque,UAE,Medium,Doctor,15,Complete,Hyderabad,10,Low,Closed,No
C00148,Customer_148,T000148,2025-03-11,148661,Cash Withdrawal,Cayman Islands,High,Salaried,60,Complete,Chennai,65,Medium,Open,No
C00149,Customer_149,T000149,2025-02-17,202585,Cash Withdrawal,Hong Kong,Medium,Freelancer,43,Incomplete,Hyderabad,65,Medium,Open,No
C00150,Customer_150,T000150,2025-11-14,73815,Cheque,Hong Kong,Medium,Student,15,Complete,Mumbai,30,Low,Closed,No
C00151,Customer_151,T000151,2025-02-22,39858,Cash Deposit,Hong Kong,Medium,Doctor,11,Pending,Pune,15,Low,Closed,No
C00152,Customer_152,T000152,2025-03-09,163836,Cash Withdrawal,Canada,Low,Trader,57,Incomplete,Delhi,55,Medium,Closed,No
C00153,Customer_153,T000153,2025-09-16,181514,Online Transfer,USA,Low,Doctor,138,Complete,Chennai,40,Medium,Closed,No
C00154,Customer_154,T000154,2025-06-16,131166,Cash Deposit,UK,Low,Engineer,161,Complete,Chennai,40,Medium,Closed,No
C00155,Customer_155,T000155,2025-01-18,53116,Cash Deposit,Germany,Low,Trader,161,Complete,Pune,20,Low,Closed,No
C00156,Customer_156,T000156,2025-03-12,79463,Cash Withdrawal,UK,Low,Engineer,83,Pending,Mumbai,25,Low,Closed,No
C00157,Customer_157,T000157,2025-11-21,65818,Cash Withdrawal,UAE,Medium,Trader,94,Complete,Delhi,30,Low,Closed,No
C00158,Customer_158,T000158,2025-07-09,162727,Wire Transfer,Hong Kong,Medium,Student,166,Pending,Kolkata,75,High,Open,Yes
C00159,Customer_159,T000159,2025-11-22,103429,Cash Deposit,Panama,High,Trader,78,Complete,Chennai,65,Medium,Open,No
C00160,Customer_160,T000160,2025-04-14,108988,Cash Withdrawal,Singapore,Low,Freelancer,73,Complete,Hyderabad,40,Medium,Closed,No
C00161,Customer_161,T000161,2025-07-08,153964,Cheque,UK,Low,Freelancer,41,Incomplete,Hyderabad,55,Medium,Closed,No
C00162,Customer_162,T000162,2025-03-15,131303,Cash Deposit,Germany,Low,Engineer,13,Complete,Chennai,40,Medium,Closed,No
C00163,Customer_163,T000163,2025-04-18,95533,Cash Deposit,Cayman Islands,High,Freelancer,7,Complete,Mumbai,45,Medium,Closed,No
C00164,Customer_164,T000164,2025-03-07,171545,Online Transfer,Singapore,Low,Consultant,64,Complete,Hyderabad,40,Medium,Closed,No
C00165,Customer_165,T000165,2025-04-08,36861,Cheque,Canada,Low,Student,17,Complete,Chennai,0,Low,Closed,No
C00166,Customer_166,T000166,2025-04-27,167008,Online Transfer,Canada,Low,Business Owner,64,Incomplete,Delhi,55,Medium,Closed,No
C00167,Customer_167,T000167,2025-12-11,227192,Cash Deposit,Hong Kong,Medium,Engineer,102,Complete,Kolkata,50,Medium,Closed,No
C00168,Customer_168,T000168,2025-11-29,239343,Cash Withdrawal,USA,Low,Engineer,178,Complete,Mumbai,40,Medium,Closed,No
C00169,Customer_169,T000169,2025-04-26,221116,Cash Withdrawal,Canada,Low,Freelancer,138,Complete,Chennai,40,Medium,Closed,No
C00170,Customer_170,T000170,2025-08-12,154084,Cash Deposit,Canada,Low,Freelancer,118,Complete,Pune,40,Medium,Closed,No
C00171,Customer_171,T000171,2025-11-16,188529,Wire Transfer,USA,Low,Student,103,Complete,Delhi,60,Medium,Open,No
C00172,Customer_172,T000172,2025-05-11,43917,Cash Deposit,USA,Low,Trader,49,Complete,Pune,0,Low,Closed,No
C00173,Customer_173,T000173,2025-09-17,65566,Wire Transfer,Hong Kong,Medium,Trader,123,Complete,Bangalore,50,Medium,Closed,No
C00174,Customer_174,T000174,2025-09-03,145876,Cheque,UAE,Medium,Trader,30,Complete,Hyderabad,50,Medium,Closed,No
C00175,Customer_175,T000175,2025-12-05,29552,Cash Withdrawal,Hong Kong,Medium,Salaried,37,Complete,Hyderabad,10,Low,Closed,No
C00176,Customer_176,T000176,2025-03-13,154199,Online Transfer,Germany,Low,Trader,58,Complete,Mumbai,40,Medium,Closed,No
C00177,Customer_177,T000177,2025-11-16,44009,Cash Withdrawal,USA,Low,Consultant,25,Pending,Mumbai,5,Low,Closed,No
C00178,Customer_178,T000178,2025-07-05,62600,Cash Withdrawal,India,Low,Salaried,62,Complete,Kolkata,20,Low,Closed,No
C00179,Customer_179,T000179,2025-12-26,241376,Wire Transfer,UK,Low,Consultant,21,Complete,Pune,60,Medium,Open,No
C00180,Customer_180,T000180,2025-07-22,176760,Online Transfer,Germany,Low,Trader,95,Complete,Pune,40,Medium,Closed,No
C00181,Customer_181,T000181,2025-10-12,88660,Cash Deposit,Hong Kong,Medium,Engineer,125,Pending,Delhi,35,Low,Closed,No
C00182,Customer_182,T000182,2025-08-31,20357,Wire Transfer,India,Low,Engineer,51,Pending,Kolkata,25,Low,Closed,No
C00183,Customer_183,T000183,2025-10-09,220956,Wire Transfer,Germany,Low,Trader,89,Complete,Chennai,60,Medium,Open,No
C00184,Customer_184,T000184,2025-03-25,238115,Online Transfer,UAE,Medium,Consultant,67,Complete,Delhi,50,Medium,Closed,No
C00185,Customer_185,T000185,2025-05-21,245370,Wire Transfer,Hong Kong,Medium,Salaried,68,Complete,Hyderabad,70,High,Open,No
C00186,Customer_186,T000186,2025-08-26,175516,Cash Deposit,Hong Kong,Medium,Business Owner,160,Complete,Kolkata,50,Medium,Closed,No
C00187,Customer_187,T000187,2025-10-15,242935,Online Transfer,Canada,Low,Freelancer,128,Complete,Chennai,40,Medium,Closed,No
C00188,Customer_188,T000188,2025-04-12,169504,Cash Deposit,Canada,Low,Trader,166,Incomplete,Hyderabad,55,Medium,Closed,No
C00189,Customer_189,T000189,2025-08-17,83470,Cash Deposit,USA,Low,Engineer,61,Complete,Chennai,20,Low,Closed,No
C00190,Customer_190,T000190,2025-12-27,103045,Online Transfer,UK,Low,Consultant,172,Complete,Kolkata,40,Medium,Closed,No
C00191,Customer_191,T000191,2025-02-25,156046,Online Transfer,Germany,Low,Doctor,175,Pending,Mumbai,45,Medium,Closed,No
C00192,Customer_192,T000192,2025-12-10,37385,Cash Deposit,Hong Kong,Medium,Doctor,32,Pending,Pune,15,Low,Closed,No
C00193,Customer_193,T000193,2025-02-13,230781,Cash Deposit,UK,Low,Salaried,157,Complete,Pune,40,Medium,Closed,No
C00194,Customer_194,T000194,2025-12-18,154118,Cash Withdrawal,UK,Low,Engineer,76,Complete,Delhi,40,Medium,Closed,No
C00195,Customer_195,T000195,2025-07-21,65742,Online Transfer,Canada,Low,Freelancer,109,Pending,Pune,25,Low,Closed,No
C00196,Customer_196,T000196,2025-05-31,215590,Cash Deposit,India,Low,Doctor,172,Complete,Kolkata,40,Medium,Closed,No
C00197,Customer_197,T000197,2025-12-14,57444,Cash Deposit,Hong Kong,Medium,Business Owner,132,Complete,Pune,30,Low,Closed,No
C00198,Customer_198,T000198,2025-05-26,180438,Cash Deposit,UK,Low,Salaried,104,Complete,Bangalore,40,Medium,Closed,No
C00199,Customer_199,T000199,2025-03-23,216509,Cheque,Singapore,Low,Student,75,Complete,Kolkata,40,Medium,Closed,No
C00200,Customer_200,T000200,2025-08-13,162804,Cash Deposit,India,Low,Engineer,44,Pending,Pune,45,Medium,Closed,No
C00201,Customer_201,T000201,2025-05-01,78642,Wire Transfer,UK,Low,Doctor,58,Complete,Delhi,40,Medium,Closed,No
C00202,Customer_202,T000202,2025-08-05,225179,Cash Deposit,India,Low,Salaried,50,Complete,Pune,40,Medium,Closed,No
C00203,Customer_203,T000203,2025-03-17,121513,Online Transfer,UAE,Medium,Salaried,38,Complete,Mumbai,50,Medium,Closed,No
C00204,Customer_204,T000204,2025-09-23,206788,Online Transfer,Germany,Low,Student,16,Pending,Delhi,45,Medium,Closed,No
C00205,Customer_205,T000205,2025-09-20,64492,Online Transfer,Hong Kong,Medium,Freelancer,47,Incomplete,Chennai,45,Medium,Closed,No
